surface_id,source,kind,current_text,decision,recommended_text,reason
responseFormat:AGR7:1,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,完全不符合,PASS,完全不符合,表达直接，可保留。
responseFormat:AGR7:2,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,比较不符合,PASS,比较不符合,表达直接，可保留。
responseFormat:AGR7:3,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,有一点不符合,PASS,有一点不符合,表达直接，可保留。
responseFormat:AGR7:4,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,说不准 / 一半一半,PASS,说不准 / 一半一半,表达直接，可保留。
responseFormat:AGR7:5,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,有一点符合,PASS,有一点符合,表达直接，可保留。
responseFormat:AGR7:6,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,比较符合,PASS,比较符合,表达直接，可保留。
responseFormat:AGR7:7,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,非常符合,PASS,非常符合,表达直接，可保留。
responseFormat:MOTIVE7:1,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,完全不是我的原因,PASS,完全不是我的原因,表达直接，可保留。
responseFormat:MOTIVE7:2,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,很少是,PASS,很少是,表达直接，可保留。
responseFormat:MOTIVE7:3,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,有一点,PASS,有一点,表达直接，可保留。
responseFormat:MOTIVE7:4,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,一半左右,PASS,一半左右,表达直接，可保留。
responseFormat:MOTIVE7:5,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,比较是,PASS,比较是,表达直接，可保留。
responseFormat:MOTIVE7:6,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,很大程度是,PASS,很大程度是,表达直接，可保留。
responseFormat:MOTIVE7:7,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,非常主要的原因,PASS,非常主要的原因,表达直接，可保留。
responseFormat:FREQ5_NA:1,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,几乎从不,PASS,几乎从不,表达直接，可保留。
responseFormat:FREQ5_NA:2,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,较少,PASS,较少,表达直接，可保留。
responseFormat:FREQ5_NA:3,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,有时,PASS,有时,表达直接，可保留。
responseFormat:FREQ5_NA:4,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,多数时候,PASS,多数时候,表达直接，可保留。
responseFormat:FREQ5_NA:5,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,几乎总是,PASS,几乎总是,表达直接，可保留。
responseFormat:FREQ5_NA:6,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,没有类似情况,PASS,没有类似情况,表达直接，可保留。
responseFormat:LIKELY5:1,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,非常不像我会做的,PASS,非常不像我会做的,表达直接，可保留。
responseFormat:LIKELY5:2,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,比较不像,PASS,比较不像,表达直接，可保留。
responseFormat:LIKELY5:3,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,说不准 / 看情况,PASS,说不准 / 看情况,表达直接，可保留。
responseFormat:LIKELY5:4,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,比较像,PASS,比较像,表达直接，可保留。
responseFormat:LIKELY5:5,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,非常像我会做的,PASS,非常像我会做的,表达直接，可保留。
responseFormat:COMFORT7_0_6:1,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,非常不舒服,PASS,非常不舒服,表达直接，可保留。
responseFormat:COMFORT7_0_6:2,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,很不舒服,PASS,很不舒服,表达直接，可保留。
responseFormat:COMFORT7_0_6:3,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,有些不舒服,PASS,有些不舒服,表达直接，可保留。
responseFormat:COMFORT7_0_6:4,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,中间 / 说不准,PASS,中间 / 说不准,表达直接，可保留。
responseFormat:COMFORT7_0_6:5,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,有些舒服,PASS,有些舒服,表达直接，可保留。
responseFormat:COMFORT7_0_6:6,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,比较舒服,PASS,比较舒服,表达直接，可保留。
responseFormat:COMFORT7_0_6:7,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,非常舒服,PASS,非常舒服,表达直接，可保留。
responseFormat:INTENSITY7_0_6:1,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,几乎没有,PASS,几乎没有,表达直接，可保留。
responseFormat:INTENSITY7_0_6:2,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,非常低,PASS,非常低,表达直接，可保留。
responseFormat:INTENSITY7_0_6:3,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,比较低,PASS,比较低,表达直接，可保留。
responseFormat:INTENSITY7_0_6:4,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,中等,PASS,中等,表达直接，可保留。
responseFormat:INTENSITY7_0_6:5,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,比较高,PASS,比较高,表达直接，可保留。
responseFormat:INTENSITY7_0_6:6,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,很高,PASS,很高,表达直接，可保留。
responseFormat:INTENSITY7_0_6:7,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,非常高,PASS,非常高,表达直接，可保留。
responseFormat:ENERGY5:1,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,几乎没有,PASS,几乎没有,表达直接，可保留。
responseFormat:ENERGY5:2,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,很少,PASS,很少,表达直接，可保留。
responseFormat:ENERGY5:3,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,一般,PASS,一般,表达直接，可保留。
responseFormat:ENERGY5:4,research/v3/normative/questionnaire_candidate_freeze.yaml,response_option,比较有,PASS,比较有,表达直接，可保留。
